"","FormattedDates","MinTemp","MaxTemp","Rainfall","Relative.Humidity....","Wind.Speed..m.s.","WindDirDaily_numerical","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Sunshine","Evaporation","Nitrogen.Oxide..ppm.","Nitrogen.Dioxide..ppm.","Nitrogen.Oxides..ppm.","Carbon.Monoxide..ppm.","PM2.5..ug.m.3.","PM10..ug.m.3.","WindDirDaily_category"
"96",2018-04-06,18.2,27.8,1.8,68.3583333333333,1.81666666666667,8,1016.5,1014.7,5,7,8.5,6.2,0.0189166666666667,0.0125416666666667,0.0298333333333333,0.0958333333333333,2.40833333333333,11.2958333333333,"SSE"
"97",2018-04-07,18.7,28.1,3.2,68.0916666666667,1.59166666666667,8,1019.5,1017.4,5,1,10.7,5,0.00991666666666667,0.010625,0.0195833333333333,0.075,2.88333333333333,10.7291666666667,"SSE"
"98",2018-04-08,18.6,27.8,2.4,69.9666666666667,1.34583333333333,9,1021.2,1017.8,5,2,10,5.8,0.007875,0.00929166666666667,0.0162083333333333,0.1,2.52916666666667,8.74166666666667,"S"
"99",2018-04-09,17.6,29.3,0,68.6416666666667,1.05416666666667,6,1020.1,1015.3,1,1,9.7,5.4,0.0193333333333333,0.017125,0.034625,0.175,4.2875,13.8,"ESE"
"100",2018-04-10,17.6,30.1,0,68.825,2.02083333333333,8,1019.1,1016.5,0,4,10.3,0.4,0.0194583333333333,0.0170833333333333,0.0349166666666667,0.141666666666667,5.15833333333333,17.15,"SSE"
"101",2018-04-11,19.9,27.2,0.2,61.8333333333333,1.56666666666667,7,1022.6,1020.1,7,2,10.6,6.2,0.0164166666666667,0.0160416666666667,0.030625,0.108333333333333,2.67916666666667,15.7333333333333,"SE"
"102",2018-04-12,17.6,26.1,0,66.6708333333333,1.275,4,1022.6,1019.3,7,7,3.5,7.2,0.0203333333333333,0.017875,0.0364166666666667,0.166666666666667,3.39583333333333,17.7791666666667,"ENE"
"103",2018-04-13,18.1,27.8,0.6,66.5333333333333,1.38333333333333,2,1020.2,1015.5,2,2,9.4,4.2,0.0167916666666667,0.015,0.030125,0.129166666666667,3.32083333333333,20.1,"NNE"
"104",2018-04-14,18.8,28,0,73.5875,0.841666666666667,16,1015.6,1011.5,7,5,3.7,5,0.0125416666666667,0.0134583333333333,0.02475,0.141666666666667,3.5,13.7041666666667,"NNW"
"105",2018-04-15,18.3,30.4,0.2,72.0666666666667,1.05,3,1011.9,1009,1,2,10.6,3,0.014375,0.012875,0.026,0.2,5.1125,13.1,"NE"
